date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:18	72185/72185	U-----	200	untouched ('OK')	image/svg+xml	etag:%22119f9-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont.svg	./wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont/index.svg	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:24	45616/45616	---M--	200	added ('OK')	application/font-sfnt	etag:%22b230-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont.ttf	./wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont/index.ttf	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:34	61324/61324	---M--	200	added ('OK')	application/font-woff	etag:%22ef8c-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.woff	./wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light/index.woff	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:37	4272/4272	---M--	200	added ('OK')	image/png	etag:%2210b0-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/images/count_bg.png	./wp-content/plugins/ultimate-social-media-icons/images/count_bg/index.png	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:40	11347/11347	---M--	200	added ('OK')	image/jpeg	etag:%222c53-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/images/check_bg.jpg	./wp-content/plugins/ultimate-social-media-icons/images/check_bg/index.jpg	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:43	3441/3441	---M--	200	added ('OK')	image/png	etag:%22d71-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/images/radio_bg.png	./wp-content/plugins/ultimate-social-media-icons/images/radio_bg/index.png	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:45	155452/155452	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2225f3c-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.eot	./wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light/index.eot	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:46	11200/11200	---M--	200	added ('OK')	image/jpeg	etag:%222bc0-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/images/select_bg.jpg	./wp-content/plugins/ultimate-social-media-icons/images/select_bg/index.jpg	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:46	395993/395993	U-----	200	untouched ('OK')	image/svg+xml	etag:%2260ad9-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.svg	./wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light/index.svg	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
16:23:48	155452/155452	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2225f3c-5659daec57400%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.eot?	./wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light/index-2.eot	(from http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10)
